# ID_SITE,ID_ENTITY,entity_name,latitude,longitude,elevation,depositional_context,measurement_method,TYPE,source,core_location,last_updated,ID_UNIT,REGION
659,754,Ringarooma River site I,-41.3,147.61,885,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,AUST
661,756,CSBM core,-35.755,148.8575,1755,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,marginal core,07/05/2021,123,AUST
670,765,Evoran Pond core,-18.76,169.01,194,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,156,AUST
672,767,Hogan's Billabong core,-36.02,146.71,140,fluvial/alluvial sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,134,AUST
673,768,Lake Hordern core,-38.78,143.46,3,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,07/05/2021,120,AUST
675,770,Nadrau core,-17.75,177.88,680,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,07/05/2021,152,AUST
682,777,Stockyard Swamp_Hunter Island core,-40.55,144.75,65,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,156,AUST
657,797,Lynchs Crater_Holocene core,-17.36,145.7,760,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,07/05/2021,134,AUST
734,832,Lake Tyrrell 2,-35.31,142.78,42,lake sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,-777777,06/03/2020,126,AUST
1346,1740,Lake Kirkpatrick core,-45.02706,168.57374,570,lake sediment,Sieved,count,IMPD,-999999,11/02/2021,34,AUST
1706,2151,Caledonia Fen core,-37.3333,146.7333,1280,bog sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 3,central core,08/05/2021,134,AUST
1766,2217,Lac Suprin core,-22.3,166.9833,230,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,16/04/2021,156,AUST
1784,2235,XW-C,-22.29,166.97,220,lake sediment,Sieved,concentration,Global Charcoal Database Version 4,central core,16/04/2021,134,AUST
1843,2298,Allom Lake core,-25.23,153.16,100,lake sediment,Sieved,influx,Global Charcoal Database Version 4,central core,12/05/2021,27,AUST
1847,2302,Boulder Flat core,-37.45,148.92,25,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,12/05/2021,107,AUST
