"ID_SITE","ID_ENTITY","entity_name","latitude","longitude","elevation","depositional_context","measurement_method","TYPE","source","core_location","last_updated","ID_UNIT","min(c.original_est_age)","min(am.mean)"
1814,2269,"Vuoskkujarvi core",68.34555,19.1,384,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1815,2270,"Grauthelleren core",58.14416,7.91361,80,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1816,2271,"Kinnshaugen core",61.10833,10.35916,591,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1817,2272,"Lisletonn core",59.34361,7.305,520,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1818,2273,"Morttjern core",59.05972,11.61777,227,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1819,2274,"Masatjornet core",61.5625,10.26777,841,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1820,2275,"Reiarsdalsvatn core",58.32638,7.78583,245,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1821,2276,"Ratasjoen core",62.26666,9.83333,1169,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,97,NA
1822,2277,"Storsandvatnet core",63.4575,8.45444,106,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1823,2278,"Svartvatnet core",63.35138,8.87777,183,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1824,2279,"Tiavatnet core",63.05972,9.41694,464,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1825,2280,"Oygardtjonn core",59.62583,7.98666,665,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1826,2281,"Isbenttjorn core",59.765,0.43444,787,"lake sediment","pollen slide","count","EPD","central core","2021-05-04",137,0,NA
1827,2282,"SB-B core",-1.23611,103.62,18,"bog sediment","sieved","count","Pangaea","central core","2021-05-04",137,-60,2
1835,2290,"Vernay core",47.261944,4.079167,595,"bog sediment","pollen slide","count","EPD","central core","2021-05-05",137,96,NA
1836,2291,"Verny des Brulons core",47.317778,4.122778,565,"bog sediment","pollen slide","count","EPD","central core","2021-05-05",137,146,NA
1837,2292,"Quart du Bois core",46.8925,4.034167,420,"bog sediment","pollen slide","count","EPD","central core","2021-05-05",137,28,NA
1838,2293,"Nataloup core",47.2275,4.035278,515,"bog sediment","pollen slide","count","EPD","central core","2021-05-05",137,104,NA
1923,2382,"Bazu bog (LVmac)",57.70004,22.45021,15,"bog sediment","Sieved","raw count","author","central core","2021-05-19",604,-33,NA
1924,2383,"Lielais Vipedis (LVmac)",56.59148,23.00094,96,"lake sediment","Sieved","raw count","author","central core","2021-05-19",604,-60,NA
1927,2386,"Mannikjarve core",58.8667,26.25,90,"bog sediment","pollen slide","count","author","central core","2021-05-25",137,0,NA
1943,2408,"Lake Huila micro",-0.423008,-78.018008,2608,"lake sediment","Pollen slide","raw count","Neotoma","central core","2021-05-26",161,-56,NA
1943,2409,"Lake Huila macro",-0.423008,-78.018008,2608,"lake sediment","Sieved","raw count","Neotoma","central core","2021-05-26",606,-59,NA
1946,2413,"CV micro",-4.149722,-79.156944,3285,"bog sediment","Pollen slide","raw count","Neotoma","-999999","2021-05-26",161,-57,NA
1946,2414,"CV macro",-4.149722,-79.156944,3285,"bog sediment","Pollen slide","raw count","Neotoma","-999999","2021-05-26",161,-57,NA
1948,2416,"AN core",-22.385319,-44.669802,2410,"bog sediment","Sieved","raw count","author","-999999","2021-05-26",606,-48,7
1955,2424,"Niliq core",67.867867,-160.431633,270,"lake sediment","pollen slide","count","arctic data center","central core","2021-06-03",188,-58,NA
1964,2434,"CP1",31.4,110.04,2120,"bog sediment","pollen slide","count","author","central core","2021-07-16",123,0,0
1966,2436,"HES2_short",48.669167,8.296389,830,"lake sediment","pollen slide","count","EPD","central core","2021-07-16",137,-7,0
1966,2437,"HES1_long",48.669167,8.296389,830,"lake sediment","pollen slide","count","EPD","central core","2021-07-16",137,0,201
1968,2440,"OSVA",49.0425,8.760278,207,"bog sediment","pollen slide","count","EPD","central core","2021-07-16",137,82,-3
1969,2442,"Doroo Nuur core",48.2459,90.6639,2394,"lake sediment","Sieved","count","author","central core","2021-07-19",113,-46,-54
1971,2444,"Almalou3",37.665278,46.631944,2491,"bog sediment","pollen slide","count","EPD","marginal core","2021-07-19",137,43,82
1974,2447,"Brve section",50.06666,14.23888,362,"bog sediment","pollen slide","count","EPD","central core","2021-07-19",221,102,92
1975,2448,"Dolskym core",50.8525,14.338889,240,"bog sediment","pollen slide","count","EPD","central core","2021-07-19",221,113,109
1976,2449,"Zahaji section",50.379444,14.115556,232,"bog sediment","pollen slide","count","EPD","central core","2021-07-19",221,7,5
1977,2450,"Na Bahne core",50.198889,15.961389,240,"bog sediment","pollen slide","count","EPD","central core","2021-07-19",221,8,5
1982,2455,"Jeleni louze core",50.892778,14.27,460,"bog sediment","pollen slide","count","EPD","central core","2021-07-20",137,0,321
1983,2456,"Pancavska louka core",50.766389,15.541111,1336,"bog sediment","pollen slide","count","EPD","central core","2021-07-20",137,35,-13
1985,2458,"PRYSKYRI core",50.887778,14.413333,423,"bog sediment","pollen slide","count","EPD","central core","2021-07-20",137,0,NA
1989,2462,"DESVERNE core",45.693333,6.8725,2276,"lake sediment","pollen slide","count","EPD","central core","2021-07-21",137,0,57
1991,2464,"MINDGES5",47.75555,9.02305,406,"lake sediment","pollen slide","count","EPD","central core","2021-07-21",137,3,3
1355,2466,"J20",58.05916,26.51722,122,"lake sediment","pollen slide","count","Pangaea","central core","2021-07-21",137,0,NA
1999,2477,"Beg Bunar core",42.15,22.55,1750,"bog sediment","Sieved","Count","author","marginal core","2021-07-28",302,0,NA
