"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
806,"Tourbiere des Narses Morte",44.43,3.6,1400,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
807,"Tourbiere de La Lande",43.56,2.96,1040,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
808,"Torveraz",45.695696,6.863743,2345,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
809,"Steregoiu",47.81,23.54,790,"-777777",NA,"-777777","-777777","-777777",NA,NA
810,"Sagistalsee",46.68,7.98,1953,"-777777",NA,"-777777","-777777","-777777",NA,NA
811,"Loch Laxford",58.36,-5,0,"coastal, estuarine",-888888,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",-999999,-999999
812,"Laghi dell'Orgials",44.23,7.13,2240,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
819,"Fleck's Loch Bog, Foula",60.146022,-2.093045,170,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",-999999,-999999
841,"Asi Gonia",35.2487733840969,24.2774999141693,780,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",-999999,-999999
867,"El Tiemblo",40.3575,-4.5263,1250,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",2e-04,-999999
870,"Lanzahita",40.2222,-4.9358,588,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-777777",0.00015,-999999
882,"Espinosa de Cerrato",41.9567,-3.935,885,"terrestrial, marsh",-888888,"small (0.01-1 km2)","medium (10.1-500 km2)","in and out flow",0.088,35
883,"Laguna de Rio Seco",37.052057,-3.34581,3020,"lacustrine",3,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.0042,0.99
885,"Tubilla del Lago",41.8084,-3.5727,900,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","-888888",0.05,NA
887,"Lake Dojran",41.1912253075602,22.7326384963602,144,"lacustrine",3,"medium (1.1-50 km2)","medium (10.1-500 km2)","inflow only",43,-999999
888,"Pena Negra",40.3347,-5.7922,1000,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
