"site","lambda","likelihood","mean","stdev"
"0648Air","0.0800000000000001","20.9240146723857","0",NA
"0650Lak","0.44","-11.8979431673972","0.0799038875369359",NA
"0652Tea","-0.18","13.7941054994232","0.570309520922564","0.311610097379187"
"0654Wil","0","8.04172126321408","0.863651410197175","0.192356409768274"
"0655Sou","0.48","-1.8718768929675","0.405451265657187","0.0890378996352579"
"0656Bri","0.1","-0.0322680981108102","0.769282549981326","0.176243569783288"
"0665Kat","-0.2","27.1642055438726","0.878848808807985","0.151101255360986"
"0668Lak","0","12.7268022157961","0.472077972402766",NA
"0669Loc","0.56","-7.84741920613095","0.201615460039277",NA
"0670Lon","-0.04","7.90893382968656","0.414619088475706","0.136428797200704"
"0674Bre","0.4","-1.02978027374051","0.783025299743284",NA
"0675Bro","0.1","4.87401367319832","0.72185143146663","0.234903832535974"
"0676Bur","0.38","4.27892631602557","0.585106773499363","0.228919639199438"
"0677Cha","0.24","-22.2668861632943","0.166553076310338","0.134454638900858"
"0678Clu","0.16","-5.62737854524625","0.490946709949163","0.270322530007894"
"0682Kur","-0.04","8.25318612325455","0.371190641197628","0.468383500195415"
"0687Rot","0.5","-307.658865470411","0.274151303265513","0.175413899548673"
"0689Egg","-0.16","64.1229535804787","0.378271439029823",NA
"0708Wor","-0.76","181.134681142589","0.692729818096566","0.129948881395111"
"0709W2","-0.86","627.019496918938","0.503035104547195","0.279231456443957"
"0710Bon","-0.16","27.251971865857","0.968862787773995","0.0440346678245053"
"0720Blu","-1.66","292.79445442576","0.207534017875535","0.405276752288976"
"0722Cob","0","7.37725391253477","0.737416777535838","0.224357727145087"
"0724Jib","-0.18","33.1674805586118","0.682141519863971","0.17661443799954"
"0726Lak","0.2","0.189000918483759","0.749095840053591","0.238407969740693"
"0728McK","0.1","5.85394527586825","0.50242771276658","0.21998668331352"
"0732Nav","-0.48","26.8150344320281","0.84291909378858","0.181609554196558"
"0733Sar","-0.78","51.4752352026672","0.967074814145518",NA
"0734Vun","-0.3","13.3550667011582","0.776003538550915",NA
"0735Wai","0.32","-7.77655446785056","0.0826086516790472","0.116826275573864"
"0754Rin","0.14","5.17205330767217","0.389056478030796","0.177323318131876"
"0756CSB","-0.62","32.1005526807651","0.914260788263187","0.105773929886363"
"0765Evo","-0.24","43.6870357862836","0.415616705503648","0.17570200983105"
"0767Hog","0.02","-4.76785297195454","0.860079305726584","0.116411826604748"
"0768Lak","0.18","5.27358059157562","0.387505134610169",NA
"0770Nad","0.04","16.4582586585259","0.577751256919952","0.124273070384319"
"0777Sto","-0.14","11.0465336583335","0.433254722303614",NA
"0797Lyn","-0.48","37.4114505097864","0.261649714451175",NA
"0832Lak","-0.0999999999999999","-8.84571087038211","0.477771897268194","0.522242824655013"
"2151Cal","-0.42","230.251048126723","0",NA
"2217Lac","-0.22","41.929734112308","0","0"
"2235XW-","-2","805.834395674373","0","0"
"2298All","-0.32","36.8197544503715","0.117886561178317","0.0655444102765992"
"2302Bou","0.3","-2.67797488009968","0.222214363942637",NA
"2308Cud","-0.32","38.3874394291173","0.614230805307239",NA
"2312Fre","-0.18","29.5532906801452","0.229519433399558",NA
"2313Gal","-1.44","64.5697000884057","0.845647007747968","0.257070482021466"
"2318Ing","-0.0800000000000001","13.3475137686222","0.880503308950426","0.144777066887953"
"2319Kin","-0.78","48.028047177581","0.952714133205545","0.0540736290522814"
"2340Lak","-0.0600000000000001","-338.999556510625","0.251102597541324","0.090544894166008"
"2342Lak","-0.02","13.9554419016066","0.483748186908531",NA
"2343Lak","-0.38","72.0094372538489","1",NA
"2348Lak","0.14","-39.522076662225","0.908118178247987",NA
"2354New","-0.2","20.0577938525381","0.872954249494952","0.0847924749587686"
"2355Nor","-0.16","58.1782018659766","1",NA
"2356Not","0.12","6.45793294423572","0.881124276892633","0.091713313734882"
"2365Sai","-0.16","33.1960088692175","0",NA
"2367Sto","0.1","3.50634071793316","0",NA
"2370Tom","-0.24","20.8921014995686","1",NA
"2375Wye","-0.28","42.7570776945873","0.163803489046803",NA
